,지역별,경제활동별,항목,2016,2015,2014,2013,2012,2011,2010
2502,군포시,도매 및 소매업,산출액(당해년가격),816249,731138,711435,755628,779876,718490,651231
2511,군포시,운수업,산출액(당해년가격),928390,869841,890212,815997,719789,841947,786321
2520,군포시,숙박 및 음식점업,산출액(당해년가격),378106,335307,331147,330575,321740,323635,279176
2529,군포시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),561709,521421,460882,428579,381187,372084,374935
2538,군포시,금융 및 보험업,산출액(당해년가격),200486,217672,213720,230906,235484,241978,268143
2547,군포시,부동산 및 임대업,산출액(당해년가격),743262,699343,705047,720150,671121,649604,494923
2556,군포시,사업서비스업,산출액(당해년가격),1278692,1226440,1327807,1162235,1093188,964246,959278
2565,군포시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),400817,390305,396268,383693,365562,311846,274794
2574,군포시,교육서비스업,산출액(당해년가격),508482,486995,487239,491107,594092,576683,618398
2583,군포시,보건 및 사회복지사업,산출액(당해년가격),513753,461742,447905,448880,404486,369698,342023
2592,군포시,문화 및 기타서비스업,산출액(당해년가격),457217,456882,429602,405135,409276,393213,366587
2601,의왕시,총부가가치(기초가격),산출액(당해년가격),6214343,5869726,5375386,5233327,4965462,6618882,5499771
2610,의왕시,농림어업,산출액(당해년가격),4440,5627,5578,3748,3359,3605,5169
2619,의왕시,광업,산출액(당해년가격),0,0,0,0,0,0,0
2628,의왕시,제조업,산출액(당해년가격),1794705,1693942,1749567,1682137,1485217,3488870,2766297
2637,의왕시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),143040,126111,195735,272126,292877,211652,78715
2646,의왕시,건설업,산출액(당해년가격),592247,475105,361782,318002,333453,329669,346443
2655,의왕시,도매 및 소매업,산출액(당해년가격),443353,408396,372044,359849,374798,339070,304507
2664,의왕시,운수업,산출액(당해년가격),465113,457044,480425,476145,432816,468714,395956
2673,의왕시,숙박 및 음식점업,산출액(당해년가격),194398,187176,181427,176597,179723,174237,160661
2682,의왕시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),290895,248847,89616,69877,61680,77664,146655
2691,의왕시,금융 및 보험업,산출액(당해년가격),87957,249820,87532,90163,91902,87459,73296
2700,의왕시,부동산 및 임대업,산출액(당해년가격),449892,397248,391076,344143,340097,320802,204337
2709,의왕시,사업서비스업,산출액(당해년가격),670921,535824,388626,390121,381519,256387,237541
2718,의왕시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),376948,415912,393937,397730,376844,366866,317166
2727,의왕시,교육서비스업,산출액(당해년가격),222063,207689,218040,213453,207336,153336,153131
2736,의왕시,보건 및 사회복지사업,산출액(당해년가격),259016,251964,241991,235649,205943,173145,156729
2745,의왕시,문화 및 기타서비스업,산출액(당해년가격),219355,209021,218007,203586,197899,167406,153166
2754,하남시,총부가가치(기초가격),산출액(당해년가격),7711506,7022708,6791423,6731011,6441296,5852380,5679650
2763,하남시,농림어업,산출액(당해년가격),3867,3221,4184,3425,3051,3780,9165
2772,하남시,광업,산출액(당해년가격),0,0,0,0,0,6415,6284
2781,하남시,제조업,산출액(당해년가격),750468,929382,821889,801018,882757,762970,851141
2790,하남시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),641444,581837,850274,952442,909242,684456,346806
2799,하남시,건설업,산출액(당해년가격),1388640,1214961,980693,1028746,924496,885362,933597
2808,하남시,도매 및 소매업,산출액(당해년가격),1389013,1189131,1205286,1206785,1185890,1114386,1088634
2817,하남시,운수업,산출액(당해년가격),427299,422157,403452,382515,355703,330200,310408
2826,하남시,숙박 및 음식점업,산출액(당해년가격),276658,216984,200676,196523,195902,208734,190921
2835,하남시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),492321,396559,396871,361031,316876,332155,206304
2844,하남시,금융 및 보험업,산출액(당해년가격),189233,166993,156180,171530,171910,181429,180418
2853,하남시,부동산 및 임대업,산출액(당해년가격),669706,557781,421159,398313,370890,298402,569139
2862,하남시,사업서비스업,산출액(당해년가격),313422,304582,354548,272272,245494,208029,193654
2871,하남시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),355469,334432,349648,343920,325643,281052,270145
2880,하남시,교육서비스업,산출액(당해년가격),243217,197600,177375,166984,133413,124415,124839
2889,하남시,보건 및 사회복지사업,산출액(당해년가격),287159,252538,214845,197134,184190,185764,177966
2898,하남시,문화 및 기타서비스업,산출액(당해년가격),283589,254552,254342,248374,235838,244830,220228
2907,용인시,총부가가치(기초가격),산출액(당해년가격),83971251,81645075,85191855,85545631,81337596,85798383,76462307
2916,용인시,농림어업,산출액(당해년가격),508499,486932,505544,446477,418812,420729,85017
2925,용인시,광업,산출액(당해년가격),106950,91480,83170,88109,70494,57522,60043
2934,용인시,제조업,산출액(당해년가격),56147452,55541940,60441428,62050833,59085537,62260528,55563218
2943,용인시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),574389,671048,829503,1178445,1172325,938779,415230
2952,용인시,건설업,산출액(당해년가격),3873536,3203396,2655379,2464941,2472264,2998894,3131890
2961,용인시,도매 및 소매업,산출액(당해년가격),2805208,2616338,2470648,2361709,2222321,2025274,1812971
2970,용인시,운수업,산출액(당해년가격),2011818,1898908,1822659,1812300,1651952,1362384,1291273
2979,용인시,숙박 및 음식점업,산출액(당해년가격),1312329,1270096,1203787,1095979,1067643,1012256,915073
2988,용인시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),1647969,1424942,1421052,1234494,1142977,1089486,1014030
2997,용인시,금융 및 보험업,산출액(당해년가격),1050199,979187,958851,923625,959886,961185,811747
3006,용인시,부동산 및 임대업,산출액(당해년가격),2692508,2706305,2493659,2322963,2212967,2165613,1950973
3015,용인시,사업서비스업,산출액(당해년가격),4283939,4151805,4131808,3433875,3338414,4211535,3665641
3024,용인시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),1208279,1176589,1083910,1013042,979968,916241,891425
3033,용인시,교육서비스업,산출액(당해년가격),2216547,2145392,1985646,2187175,1814258,2518776,2363052
3042,용인시,보건 및 사회복지사업,산출액(당해년가격),1733763,1565302,1474030,1390520,1254273,1242460,1000346
3051,용인시,문화 및 기타서비스업,산출액(당해년가격),1797866,1715414,1630779,1541143,1473508,1616721,1490376
3060,파주시,총부가가치(기초가격),산출액(당해년가격),36027457,36571481,32534501,33819803,31715299,29565427,27597078
3069,파주시,농림어업,산출액(당해년가격),394760,359929,373057,335989,311783,224934,283516
3078,파주시,광업,산출액(당해년가격),16648,13915,763,15795,13144,33762,41060
3087,파주시,제조업,산출액(당해년가격),23712748,25040856,21950959,23630021,22368217,20799220,19584928
3096,파주시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),341603,409521,428151,585763,587761,394287,331476
3105,파주시,건설업,산출액(당해년가격),1366207,1149823,915313,829121,764835,781961,873419
3114,파주시,도매 및 소매업,산출액(당해년가격),1428178,1293541,1179455,1140166,1127271,1025517,858537
3123,파주시,운수업,산출액(당해년가격),1032541,1002264,982390,981978,942955,789603,683015
3132,파주시,숙박 및 음식점업,산출액(당해년가격),667229,613682,569467,536074,526354,518432,430694
3141,파주시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),2275763,2118417,2012518,1793509,1614199,1477366,1504227
3150,파주시,금융 및 보험업,산출액(당해년가격),487092,488031,441880,464012,469455,464858,387827
3159,파주시,부동산 및 임대업,산출액(당해년가격),1055449,1020118,906573,831678,766524,748538,675084
3168,파주시,사업서비스업,산출액(당해년가격),619401,579050,423833,418567,365186,448470,332630
3177,파주시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),649200,611110,610719,617652,600086,618149,557811
3186,파주시,교육서비스업,산출액(당해년가격),646562,632470,575647,539778,198460,268214,214429
3195,파주시,보건 및 사회복지사업,산출액(당해년가격),697988,641388,578149,550019,526632,480596,397880
3204,파주시,문화 및 기타서비스업,산출액(당해년가격),636089,597365,585627,549681,532437,491519,440544
3213,이천시,총부가가치(기초가격),산출액(당해년가격),29358640,27695265,25502158,24612711,23137986,23990847,18432308
3222,이천시,농림어업,산출액(당해년가격),628501,607477,635940,580873,521747,426158,505563
3231,이천시,광업,산출액(당해년가격),46,0,51,0,0,0,0
3240,이천시,제조업,산출액(당해년가격),20179818,19963414,17902543,17221880,16117564,17413703,12144788
3249,이천시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),567759,242244,270899,428945,407610,320892,298620
3258,이천시,건설업,산출액(당해년가격),1434504,941805,861485,782831,871441,932562,859274
3267,이천시,도매 및 소매업,산출액(당해년가격),793584,752601,747202,745836,687166,607282,546479
3276,이천시,운수업,산출액(당해년가격),1077594,761882,718737,706485,564411,547540,509269
3285,이천시,숙박 및 음식점업,산출액(당해년가격),433755,420680,414530,383846,371522,354729,314444
3294,이천시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),204149,221022,209957,204973,188840,155766,162801
3303,이천시,금융 및 보험업,산출액(당해년가격),442999,420832,418331,420030,424910,438165,377108
3312,이천시,부동산 및 임대업,산출액(당해년가격),663148,617617,590265,570385,539151,514136,917977
3321,이천시,사업서비스업,산출액(당해년가격),1125645,1063092,1042769,894027,805678,744205,449542
3330,이천시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),466569,433588,442888,472597,441495,392528,413710
3339,이천시,교육서비스업,산출액(당해년가격),397355,367862,380702,384900,437845,445084,289797
3348,이천시,보건 및 사회복지사업,산출액(당해년가격),427584,385909,374274,346858,321660,300573,269939
3357,이천시,문화 및 기타서비스업,산출액(당해년가격),515630,495241,491585,468247,436946,397524,372997
3366,안성시,총부가가치(기초가격),산출액(당해년가격),17398812,16897445,16151672,16981269,15810917,16575852,14022042
3375,안성시,농림어업,산출액(당해년가격),773164,860669,849314,783823,709618,648847,577382
3384,안성시,광업,산출액(당해년가격),25549,21666,26061,20490,17245,13547,16566
3393,안성시,제조업,산출액(당해년가격),10969656,10752421,10171900,11013993,10284593,11230249,9135205
3402,안성시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),237107,225756,287194,355148,381990,286754,162212
3411,안성시,건설업,산출액(당해년가격),846993,716743,613597,699895,622776,705808,632708
3420,안성시,도매 및 소매업,산출액(당해년가격),639592,592056,560286,569152,531881,511781,457791
3429,안성시,운수업,산출액(당해년가격),471812,433857,481059,348260,368067,442439,409495
3438,안성시,숙박 및 음식점업,산출액(당해년가격),340617,325340,329168,317740,321832,303534,271731
3447,안성시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),287029,309078,261166,244569,222749,236501,98219
3456,안성시,금융 및 보험업,산출액(당해년가격),265937,267903,284367,270490,272461,273880,230208
3465,안성시,부동산 및 임대업,산출액(당해년가격),350106,360763,345806,340956,316452,293068,428437
3474,안성시,사업서비스업,산출액(당해년가격),497986,408147,390206,463268,445230,325971,305650
3483,안성시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),466881,464104,372958,376674,376193,413058,450182
3492,안성시,교육서비스업,산출액(당해년가격),429470,414444,434777,429107,241960,194952,197037
3501,안성시,보건 및 사회복지사업,산출액(당해년가격),389576,365677,341995,366998,337657,332950,315926
3510,안성시,문화 및 기타서비스업,산출액(당해년가격),407336,378822,401817,380705,360211,362511,333295
3519,김포시,총부가가치(기초가격),산출액(당해년가격),19663055,18407697,17392228,16968044,16098474,17609316,14059533
3528,김포시,농림어업,산출액(당해년가격),304652,276616,303326,277837,248468,184529,203741
3537,김포시,광업,산출액(당해년가격),841,1711,1781,12038,8622,28698,34448
3546,김포시,제조업,산출액(당해년가격),11221721,10812982,10253275,10413230,10154423,12180765,8974486
3555,김포시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),327584,351520,344985,484292,492501,411356,240522
3564,김포시,건설업,산출액(당해년가격),1213907,915656,820363,715807,762356,770769,876536
3573,김포시,도매 및 소매업,산출액(당해년가격),1306230,1157035,1040625,945070,873091,807150,722827
3582,김포시,운수업,산출액(당해년가격),646081,591169,621068,480194,429254,409750,399096
3591,김포시,숙박 및 음식점업,산출액(당해년가격),533055,480661,447496,389322,357602,347829,306693
3600,김포시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),319224,238720,268848,225936,204625,182532,185225
3609,김포시,금융 및 보험업,산출액(당해년가격),459075,442487,413888,389242,400475,368935,302896
3618,김포시,부동산 및 임대업,산출액(당해년가격),902920,855206,815740,646861,600462,570137,436232
3627,김포시,사업서비스업,산출액(당해년가격),336100,323917,288310,276335,251728,206062,222193
3636,김포시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),459742,448453,393937,444522,415244,346131,404413
3645,김포시,교육서비스업,산출액(당해년가격),581313,547713,497793,447573,136801,123239,143236
3654,김포시,보건 및 사회복지사업,산출액(당해년가격),594265,533199,474700,437046,397833,343428,301345
3663,김포시,문화 및 기타서비스업,산출액(당해년가격),456345,430652,406092,382741,364990,328008,305642
3672,화성시,총부가가치(기초가격),산출액(당해년가격),134931666,126109969,113183790,99677290,94018890,82703756,71194254
3681,화성시,농림어업,산출액(당해년가격),696583,853728,796319,744280,690137,711589,648697
3690,화성시,광업,산출액(당해년가격),87289,77333,79302,38419,34006,72757,123703
3699,화성시,제조업,산출액(당해년가격),112944752,106045971,94203590,82745124,78040042,68080420,58100066
3708,화성시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),435710,331239,467518,737969,729956,527423,331075
3717,화성시,건설업,산출액(당해년가격),4032316,3499199,3458415,2732555,2168561,2586990,2246963
3726,화성시,도매 및 소매업,산출액(당해년가격),2496402,2287983,2095424,1937862,1840762,1679014,1434946
3735,화성시,운수업,산출액(당해년가격),1408953,1409849,1073302,1016233,902198,799327,792403
3744,화성시,숙박 및 음식점업,산출액(당해년가격),1136605,1019345,978825,885005,853165,807524,684487
3753,화성시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),431832,333202,332859,300471,268643,385686,339056
3762,화성시,금융 및 보험업,산출액(당해년가격),659331,662168,670485,582764,603523,607007,476097
3771,화성시,부동산 및 임대업,산출액(당해년가격),2134277,1868903,1759698,1577321,1504454,1422409,1238748
3780,화성시,사업서비스업,산출액(당해년가격),4187993,3870891,3498767,2751164,2571761,1808065,1814235
3789,화성시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),765126,695226,790205,779083,735464,632315,499706
3798,화성시,교육서비스업,산출액(당해년가격),1270376,1202478,1099205,1050145,1397621,1081342,1169545
3807,화성시,보건 및 사회복지사업,산출액(당해년가격),1031278,896580,832588,821685,719269,651567,530756
3816,화성시,문화 및 기타서비스업,산출액(당해년가격),1212843,1055872,1047289,977211,959328,850321,763772
3825,광주시,총부가가치(기초가격),산출액(당해년가격),16730479,15644166,14582474,13716254,12915102,12399067,12047208
3834,광주시,농림어업,산출액(당해년가격),122948,140187,155498,142149,125768,99918,104460
3843,광주시,광업,산출액(당해년가격),14039,12335,9416,10672,8622,12872,11681
3852,광주시,제조업,산출액(당해년가격),7611205,7473785,6998267,6728548,6310545,6361373,6085812
3861,광주시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),537570,512691,466290,322862,329601,298703,137521
3870,광주시,건설업,산출액(당해년가격),1699470,1294573,1079571,1029711,972592,943267,959011
3879,광주시,도매 및 소매업,산출액(당해년가격),1545744,1430840,1352660,1241887,1240840,1083600,1020950
3888,광주시,운수업,산출액(당해년가격),1042372,968015,911647,802399,816808,746466,740505
3897,광주시,숙박 및 음식점업,산출액(당해년가격),478433,430283,434364,399195,401530,380349,342396
3906,광주시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),135661,141730,122902,104815,91789,141725,178946
3915,광주시,금융 및 보험업,산출액(당해년가격),278798,285540,254375,268291,270083,272578,221260
3924,광주시,부동산 및 임대업,산출액(당해년가격),749534,680371,622101,576758,550699,491203,762000
3933,광주시,사업서비스업,산출액(당해년가격),354126,306693,276123,300718,273172,177690,179145
3942,광주시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),583241,532951,550113,538106,541727,487991,447679
3951,광주시,교육서비스업,산출액(당해년가격),417490,394765,388711,370654,148455,106270,115486
3960,광주시,보건 및 사회복지사업,산출액(당해년가격),556475,476665,426104,370526,354776,320607,292522
3969,광주시,문화 및 기타서비스업,산출액(당해년가격),603373,562744,534331,508964,478095,474456,447833
3978,양주시,총부가가치(기초가격),산출액(당해년가격),11886135,11347960,11340924,10748153,10176963,9112402,9254789
3987,양주시,농림어업,산출액(당해년가격),477509,519833,533436,491061,443936,199694,386682
3996,양주시,광업,산출액(당해년가격),40673,37990,37157,14087,11905,34269,45695
4005,양주시,제조업,산출액(당해년가격),6162775,6016851,5981077,5691230,5537065,5218417,5256324
4014,양주시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),204196,236414,240194,267514,273016,192876,88490
4023,양주시,건설업,산출액(당해년가격),919529,696431,712244,670481,609141,642794,871741
4032,양주시,도매 및 소매업,산출액(당해년가격),765306,712382,692558,664390,619701,562603,539546
4041,양주시,운수업,산출액(당해년가격),345189,341427,330702,309645,319871,377785,290590
4050,양주시,숙박 및 음식점업,산출액(당해년가격),317742,298672,294133,284395,284081,277362,256362
4059,양주시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),371381,395070,532575,461188,418312,47827,35879
4068,양주시,금융 및 보험업,산출액(당해년가격),177062,169002,154403,156137,162179,168408,127899
4077,양주시,부동산 및 임대업,산출액(당해년가격),466713,398415,346682,340956,301881,282668,330649
4086,양주시,사업서비스업,산출액(당해년가격),252366,237132,242722,219443,193378,139480,136098
4095,양주시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),344888,342003,333331,327542,312409,310820,290348
4104,양주시,교육서비스업,산출액(당해년가격),317960,311440,288879,258699,105091,83418,87735
4113,양주시,보건 및 사회복지사업,산출액(당해년가격),362376,317322,293821,279898,283835,277413,242796
4122,양주시,문화 및 기타서비스업,산출액(당해년가격),360471,317575,327011,311486,301163,296567,267954
4131,포천시,총부가가치(기초가격),산출액(당해년가격),11489730,10883175,10315425,9971340,9364877,8906936,8462994
4140,포천시,농림어업,산출액(당해년가격),827067,936393,927412,852895,791441,758482,849765
4149,포천시,광업,산출액(당해년가격),150781,134145,137806,112526,103256,56003,66514
4158,포천시,제조업,산출액(당해년가격),5523130,5133809,4792999,4605852,4398055,4090396,3743433
4167,포천시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),266941,235180,245384,237534,226019,262858,166294
4176,포천시,건설업,산출액(당해년가격),823812,720245,599736,634317,559557,557153,485979
4185,포천시,도매 및 소매업,산출액(당해년가격),758253,717533,693551,680734,667962,619359,561101
4194,포천시,운수업,산출액(당해년가격),348646,326004,285404,271757,309289,330303,232610
4203,포천시,숙박 및 음식점업,산출액(당해년가격),409198,378358,370725,356426,338334,336008,322107
4212,포천시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),170740,187114,166430,181680,168669,182532,192401
4221,포천시,금융 및 보험업,산출액(당해년가격),350219,329521,320358,290282,295166,315114,243941
4230,포천시,부동산 및 임대업,산출액(당해년가격),224376,227666,250008,242174,280161,269868,431952
4239,포천시,사업서비스업,산출액(당해년가격),202242,173682,176259,195060,178541,130886,95688
4248,포천시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),391804,409155,393937,390711,370769,341820,443746
4257,포천시,교육서비스업,산출액(당해년가격),309486,299358,279690,282301,97028,78278,61685
4266,포천시,보건 및 사회복지사업,산출액(당해년가격),327923,305556,291008,270636,238461,221487,214456
4275,포천시,문화 및 기타서비스업,산출액(당해년가격),405113,369457,384718,366454,342169,356389,351323
4284,여주시,총부가가치(기초가격),산출액(당해년가격),6429013,6307789,5892933,5859375,5507710,5895104,5708079
4293,여주시,농림어업,산출액(당해년가격),61053,69839,76006,59767,54247,429561,395154
4302,여주시,광업,산출액(당해년가격),1220,5329,9925,10203,8622,12281,14860
4311,여주시,제조업,산출액(당해년가격),2990808,3029059,2713863,2663384,2562662,2352473,2483322
4320,여주시,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),184810,164541,202317,189105,178960,78516,99371
4329,여주시,건설업,산출액(당해년가격),439699,371679,295710,327646,281886,347673,406381
4338,여주시,도매 및 소매업,산출액(당해년가격),388302,371215,341907,369573,357680,360641,328327
4347,여주시,운수업,산출액(당해년가격),209274,199006,197238,195461,159464,182996,158441
4356,여주시,숙박 및 음식점업,산출액(당해년가격),216154,214391,210795,196209,198898,193233,177685
4365,여주시,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),63151,46022,56330,58231,54372,96531,81625
4374,여주시,금융 및 보험업,산출액(당해년가격),181196,180165,183950,169331,174073,194234,180868
4383,여주시,부동산 및 임대업,산출액(당해년가격),269422,260648,226351,223055,193281,200268,297798
4392,여주시,사업서비스업,산출액(당해년가격),262600,228464,218236,247889,228413,288176,133220
4401,여주시,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),393904,421732,459205,458559,440844,424554,332720
4410,여주시,교육서비스업,산출액(당해년가격),184532,191746,177934,172426,124131,172348,85880
4419,여주시,보건 및 사회복지사업,산출액(당해년가격),239287,228934,200429,213157,200711,201386,182377
4428,여주시,문화 및 기타서비스업,산출액(당해년가격),343602,325018,322736,305378,289467,360233,350048
4437,연천군,총부가가치(기초가격),산출액(당해년가격),2094743,2061606,2034699,2137618,1985689,1838943,1995228
4446,연천군,농림어업,산출액(당해년가격),76355,119642,101109,90459,80841,419752,477548
4455,연천군,광업,산출액(당해년가격),17700,14583,16288,10245,8622,5275,9821
4464,연천군,제조업,산출액(당해년가격),385459,418457,405655,360458,343734,216048,349659
4473,연천군,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),182896,162533,197888,306718,302825,211652,94638
4482,연천군,건설업,산출액(당해년가격),324290,268720,240726,253389,217426,179068,219853
4491,연천군,도매 및 소매업,산출액(당해년가격),123728,117354,121476,127444,125005,112604,114087
4500,연천군,운수업,산출액(당해년가격),43648,47651,41285,39653,35099,36827,37869
4509,연천군,숙박 및 음식점업,산출액(당해년가격),88002,81642,82933,89398,87488,81829,79591
4518,연천군,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),180206,170695,184353,204973,181239,48704,52025
4527,연천군,금융 및 보험업,산출액(당해년가격),86120,81934,75535,74770,78495,75957,62196
4536,연천군,부동산 및 임대업,산출액(당해년가격),70991,69467,69512,73290,83306,65067,87938
4545,연천군,사업서비스업,산출액(당해년가격),28028,33336,28887,36574,34162,18846,17986
4554,연천군,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),244838,255233,243588,255015,244070,216383,255127
4563,연천군,교육서비스업,산출액(당해년가격),63337,61155,63202,61083,18565,11271,11595
4572,연천군,보건 및 사회복지사업,산출액(당해년가격),92988,77124,78906,74752,64511,64903,54212
4581,연천군,문화 및 기타서비스업,산출액(당해년가격),86157,82079,83356,79398,80301,74756,71081
4590,가평군,총부가가치(기초가격),산출액(당해년가격),2955535,2851487,2909688,2995852,2854783,2720253,2618440
4599,가평군,농림어업,산출액(당해년가격),309578,306970,329127,303682,273943,289043,284777
4608,가평군,광업,산출액(당해년가격),23225,23193,20105,20490,17245,46423,68323
4617,가평군,제조업,산출액(당해년가격),254942,231114,178619,148188,139096,147445,177602
4626,가평군,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),255151,266821,367839,498129,473007,413063,316006
4635,가평군,건설업,산출액(당해년가격),424494,367943,367096,382133,376591,323587,364664
4644,가평군,도매 및 소매업,산출액(당해년가격),184188,177320,184399,181373,179236,168453,152322
4653,가평군,운수업,산출액(당해년가격),74980,76050,58812,59064,45262,45413,43363
4662,가평군,숙박 및 음식점업,산출액(당해년가격),324464,308092,308660,282555,279241,269083,236029
4671,가평군,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),43231,44926,48649,55902,55249,75031,95976
4680,가평군,금융 및 보험업,산출액(당해년가격),95076,84166,95530,85765,86063,81600,80017
4689,가평군,부동산 및 임대업,산출액(당해년가격),121739,136891,136103,114714,122072,115467,91249
4698,가평군,사업서비스업,산출액(당해년가격),98969,79118,92417,150359,141137,98164,63432
4707,가평군,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),249265,273095,268064,283090,269887,251694,277118
4716,가평군,교육서비스업,산출액(당해년가격),108642,101696,110138,100520,76701,58709,40892
4725,가평군,보건 및 사회복지사업,산출액(당해년가격),157615,153747,134674,128335,127005,122365,116949
4734,가평군,문화 및 기타서비스업,산출액(당해년가격),229976,220345,209458,201550,193049,214713,209720
4743,양평군,총부가가치(기초가격),산출액(당해년가격),3517172,3252371,3120770,3184206,2962104,2786651,2616725
4752,양평군,농림어업,산출액(당해년가격),434143,415834,477652,439370,401580,354103,407462
4761,양평군,광업,산출액(당해년가격),0,0,0,0,0,0,0
4770,양평군,제조업,산출액(당해년가격),133819,131008,128166,120153,123728,119815,150943
4779,양평군,"전기, 가스, 증기 및 수도사업",산출액(당해년가격),192180,168642,198036,274432,261158,201411,133792
4788,양평군,건설업,산출액(당해년가격),542893,434015,365016,433004,429398,409471,424123
4797,양평군,도매 및 소매업,산출액(당해년가격),282787,262182,255006,251095,237998,238543,222820
4806,양평군,운수업,산출액(당해년가격),112794,103811,85632,83354,83399,84515,73383
4815,양평군,숙박 및 음식점업,산출액(당해년가격),274557,256986,248484,246518,233515,235275,208729
4824,양평군,"출판, 영상, 방송통신 및 정보서비스업",산출액(당해년가격),90912,83712,74253,67548,58757,87756,78934
4833,양평군,금융 및 보험업,산출액(당해년가격),137791,125022,131520,134146,136447,146923,117144
4842,양평군,부동산 및 임대업,산출액(당해년가격),246043,222704,235113,210309,214726,221601,205336
4851,양평군,사업서비스업,산출액(당해년가격),109203,90008,84180,89403,88273,67824,50962
4860,양평군,"공공행정, 국방 및  사회보장행정",산출액(당해년가격),338515,389105,303029,327542,314145,262370,216331
4869,양평군,교육서비스업,산출액(당해년가격),167391,152637,153597,156284,47972,40563,32852
4878,양평군,보건 및 사회복지사업,산출액(당해년가격),259161,223194,190864,175965,163633,155811,140054
4887,양평군,문화 및 기타서비스업,산출액(당해년가격),194979,193510,190222,175084,167376,160670,153859
