시군,총인구수,할인율_상시,할인율_한시,구매한도_월,구매한도_연,지역화폐사용액(천원),경제활동참가율,서비스업사업체비율,제조업사업체비율,도소매업사업체비율,운수업사업체비율,농업가구비율,합계출산율,도시지역면적,주택,전체대비주택비율,면적대비주택비율,미성년비율,청년비율,중년비율,장년비율,노년비율,cluster_id
수원시,1194465,0.06,0.1,50,400,22696236.0,62.6,0.7598480412848408,0.05299492109312237,0.2340109747960948,0.10505031249574487,0.005607254385361061,0.89,121182030,354566,0.0869895467596476,0.0029258958609622234,0.1917139792030355,0.2173957465398579,0.2608912783456848,0.2265602567648266,0.10343873914659517,0
의정부시,451868,0.06,0.1,40,400,9062650.0,59.4,0.7588796803315081,0.04961521385230132,0.2337205860589019,0.11469587094864585,0.005817734218960472,0.847,81598380,142635,0.03499420136748119,0.001748012644368675,0.1771328561111647,0.1872975471596028,0.2444183590175465,0.2484291894358725,0.1427220482758134,3
부천시,829996,0.06,0.1,40,400,31543254.0,63.0,0.660900799496797,0.17382020426067238,0.22111135020608147,0.09388707728469038,0.002736976272355309,0.807,53450000,255150,0.06259873438435745,0.004773620205799813,0.1659897294614551,0.20410922829158606,0.2429807857873573,0.263625682423604,0.12329457403599753,0
광명시,316552,0.06,0.1,40,480,6372380.0,61.8,0.7104265402843601,0.09246972090573986,0.2589784096893102,0.12243285939968405,0.004860165144711839,0.84,38506473,99721,0.024465641354272042,0.002589720434795469,0.18610071990290453,0.1824263886810648,0.25926480123696943,0.2424194057891499,0.1297886843899114,3
동두천시,94768,0.06,0.1,30,360,2106819.0,56.2,0.7247259439707674,0.07704019488428747,0.2172655298416565,0.10794762484774666,0.01753060692888773,0.8540000000000001,33565811,33510,0.008221374051420021,0.0009983372664524623,0.1711490050006265,0.1611591429450159,0.2265887525772021,0.2527537618608254,0.18834933761633008,3
안산시,650918,0.06,0.1,0,400,27036345.0,63.4,0.63591238720868,0.17384164006421493,0.21392061705386306,0.1163987968925876,0.006212825475763271,0.887,151472339,193891,0.047569395291073686,0.0012800422920781595,0.1764922451643813,0.21549873874395292,0.2468106861908138,0.26167726957760384,0.0995210603232481,7
고양시,1066351,0.06,0.1,40,400,28739326.0,59.7,0.7349794238683127,0.08458595047289004,0.26666666666666666,0.10459894592448199,0.013251082295387323,0.802,194127720,313254,0.07685402289177938,0.0016136489935594976,0.1826349848331648,0.18440647118301315,0.25362891809909,0.2513852376137513,0.1279443882709808,0
과천시,58289,0.06,0.1,40,480,6683191.0,55.3,0.8024489795918367,0.021496598639455786,0.3523809523809524,0.08353741496598639,0.017505125374546602,0.78,35853000,12927,0.003171522004258628,0.00036055560204167013,0.18979175017656372,0.1823283513714711,0.2331214567943652,0.25474813415029873,0.14001030750730115,3
구리시,199265,0.06,0.1,50,600,4011320.0,60.5,0.7529355543418896,0.055843801201529215,0.2901419989077007,0.11339432004369195,0.006664463538224278,0.872,33292067,57693,0.0141544533914824,0.0017329353566421695,0.17994403730846106,0.1869686875416389,0.2521625582944704,0.25468887408394403,0.12623584277148567,3
남양주시,701830,0.06,0.1,50,600,12979396.0,57.8,0.6741289610594356,0.1498239529139734,0.2371643281307478,0.1072836197382942,0.017411107547790218,0.9079999999999999,242423014,221641,0.05437760567385213,0.0009142737578536996,0.20884707097401314,0.15851521088683346,0.2694582403061922,0.2312601570450024,0.13191932078795887,1
오산시,226379,0.06,0.1,30,360,6017615.0,64.1,0.707816091954023,0.07111111111111111,0.21026819923371648,0.1506513409961686,0.012500402719159769,1.04,42757000,74061,0.01817019348320556,0.0017321374277896016,0.22328057540611854,0.20090985396890174,0.29391714856774515,0.1934529468231628,0.08843947523407178,5
군포시,275852,0.06,0.1,50,600,16642604.0,61.8,0.6440572846188543,0.1761953089760938,0.19108028867839424,0.10577356788452864,0.0032991307507674065,1.046,36460228,86794,0.02129411935001341,0.0023805117181384602,0.18444947400267306,0.19568938775979136,0.2485112379989507,0.2497941583085366,0.1215557419300483,1
하남시,272455,0.06,0.1,50,600,14538314.0,64.0,0.7272312108559499,0.09590292275574112,0.34205375782881003,0.10457985386221294,0.00923128074241402,0.975,93044652,77390,0.01898693338822428,0.0008317511897405987,0.19782106487301987,0.17845187955745534,0.2775568896152879,0.2232013766658285,0.12296878928840835,3
용인시,1059609,0.06,0.1,50,600,15960062.0,59.2,0.7351440547768526,0.08197560836826433,0.22656146273922198,0.10587409669404244,0.014778624020935945,0.9359999999999999,388296611,326916,0.08020587046833863,0.0008419233924243548,0.2147612966323285,0.17191673974806115,0.2778288561717743,0.20835067753525088,0.12714242991258526,0
파주시,454040,0.06,0.1,40,400,8462572.0,61.0,0.6434851328657513,0.19131351048766834,0.2119924923441668,0.09657874806546148,0.040427014057169385,1.05,81322573,143059,0.035098225915311754,0.0017591548658943685,0.2118819367171674,0.1718237324888014,0.2647579103540757,0.21879844408304566,0.13273797635690984,1
이천시,215834,0.06,0.1,40,400,5020770.0,66.3,0.6807304410097272,0.11624992540430865,0.2239064271647669,0.11541445366115652,0.08390262676801694,0.991,82195456,68800,0.01687945493099664,0.0008370292391832463,0.19885212357139287,0.18299146578829167,0.24660877376852824,0.2358237261067026,0.13572391076508458,5
안성시,183405,0.06,0.1,50,500,8509106.0,66.5,0.6423708450140169,0.17868108396742755,0.20771592577759976,0.09110933119743693,0.10741217119366472,1.002,156213560,64859,0.015912566386184754,0.0004151944299841832,0.18053935399343765,0.1719198037041081,0.2410198651902335,0.2434908029398413,0.1630301741723795,1
화성시,815396,0.06,0.1,50,600,22496907.0,68.2,0.551696,0.305056,0.186992,0.083136,0.037511316414959736,1.199,317786985,258263,0.06336248065180211,0.0008126921875041548,0.24533393328096803,0.18746326187714246,0.3033814678603197,0.1805291850248909,0.08329215195667893,6
광주시,372654,0.06,0.0,40,400,7557041.0,62.5,0.5706053975200583,0.2402261123267688,0.22184536834427426,0.12231947483588622,0.02491523864127011,1.043,172259487,115372,0.02830547201015908,0.0006697570160533452,0.1885698304252781,0.17650668082167542,0.271328116527685,0.2394764929824261,0.12411887924293535,1
양주시,222314,0.06,0.1,50,600,8292230.0,59.9,0.5840642442191594,0.24353571021756465,0.215400387287846,0.09482856817405172,0.04317181667481605,1.03,150455382,74540,0.018287711781344324,0.0004954292695225752,0.1994569978915344,0.16214967217691856,0.2519568294068376,0.24004255442055705,0.14639394610415246,1
여주시,111083,0.06,0.09,40,400,2898929.0,61.4,0.6863501156769858,0.12504131320921008,0.23146414013440564,0.0887958576622232,0.15169624395010112,1.083,26093192,36723,0.009009654410334151,0.0014073785989847467,0.15838198988988594,0.14824248599083034,0.21231239468631216,0.2760786080959285,0.20498452133704292,2
연천군,43824,0.06,0.1,50,600,2183752.0,64.5,0.6951652553947009,0.10406992624965856,0.2108713466266048,0.05435673313302376,0.17413955550629054,1.413,30445145,15462,0.003793461223009739,0.0005078642259710046,0.14166897698918768,0.155782947299443,0.17282052574539405,0.2753232351236233,0.254404314842352,2
가평군,62415,0.06,0.1,30,360,2294420.0,62.1,0.8150484012907011,0.04986799647990613,0.17263127016720445,0.035054268113816366,0.1258625448523323,0.971,81889445,21820,0.00535333875863876,0.00026645680649075096,0.13643685858567575,0.13375807706926826,0.18621151514054554,0.2965483538163587,0.2470451953881518,2
양평군,116874,0.1,0.0,50,500,8659833.0,62.6,0.7620049504950495,0.04925742574257426,0.1993811881188119,0.06794554455445545,0.13930252046670535,1.024,51198870,39985,0.009809956474068323,0.0007809742675961403,0.14796870240633567,0.12082127627170272,0.19747563204386231,0.28897921108742003,0.2447551781906793,4
