,가구,광학제품,의료기관,레저업소,레저용품,문화취미,보건위생,사무통신,서적문구,수리서비스,숙박,신변잡화,연료판매,유통업,음료식품,의류,요식업,자동차정비,자동차판매,전기가전,주방용구,직물
가평,0.03711601446971846,0.24787043973198544,0.19951754983607978,0.1351456188280504,0.19085377523103372,0.19736453115391978,0.13918587533874227,0.37792786881415,0.1499884065291226,0.06692513189293511,0.6387135772361355,0.0796489694081871,0.8237313861067656,0.7644663639690306,1.0,0.12735753715754544,0.307933723007388,0.041874008979968104,0.028963678812848212,0.07547569437410394,0.02460687287865696,0.20508424543906037
고양,0.12238611425076512,0.6985877677322634,0.5223211721274125,0.27099786099660345,0.33377208501167144,0.4178842547587045,0.514625394099068,1.0,0.5265303635414763,0.20942422360570312,0.06987906410554157,0.10966106894041124,0.07836866499055405,0.6821937019497087,0.3272667000039922,0.143294806951828,0.24590817328783263,0.050507969001315905,0.053650043666136134,0.06405217609115255,0.02974975435592645,0.1156905680042288
과천,0.030027646988379262,0.3459490612613982,0.37913451529658604,0.184027203816831,0.14224108103344082,0.6013426374684647,0.2926768408569306,1.0,0.48762566125566453,0.1518570308767273,0.02087638963403757,0.07386228078005246,0.0968411785690953,0.6901222974213606,0.4788606423239467,0.2807108546850337,0.2697755403764828,0.029025523105102594,1.7630851105129762e-05,0.03570351297360228,0.027713319022584677,0.21301377353854858
광명,0.07453055069104175,0.57967915324414,0.571125752508277,0.2007777114743004,0.22899406064230163,0.47576097426711017,0.5171685888859978,0.7415901770286425,0.352352402342015,0.20917857222280523,0.13191716194510616,0.12557849414556765,0.2079787442535739,0.9943139132256131,1.0,0.3180506524860183,0.3916871437461237,0.06129723570388528,0.07900812769918396,0.15600382262280396,0.09247507648351129,0.4680397599613814
광주,0.2301118496473279,0.40745241909309177,0.37656056025309004,0.18296687333391345,0.3101531087715399,0.2824778056494187,0.27915865441961596,0.5543641448669001,0.25745833782905714,0.18267550743551056,0.06361944976027031,0.09204858512095955,0.7329092954194171,1.0,0.9072129627998543,0.29703435115123794,0.3791464020461915,0.08792867598118713,0.05314330488539194,0.18816386235190793,0.07384963297182061,0.4385604803592096
구리,0.06484924374423388,0.48686375270958837,0.5575802402120936,0.18754294151723075,0.3481004605486766,0.258143607858151,0.4484223974634251,0.7590212002810964,0.29776162431679365,0.16668124981801202,0.06634740676703565,0.10124175424958351,0.10577998379065894,0.9743292584541001,1.0,0.43844437978428386,0.3789301369976474,0.06833281882011992,0.04999232612722164,0.14733017251966465,0.05119502985627882,0.4023046534997692
군포,0.027043709866569746,0.36200234297925193,0.7157313276584155,0.2045869051047027,0.26420503966640546,0.24732610467783528,0.4156413648096353,1.0,0.5396067783747118,0.19622882586710633,0.07478744057658893,0.10995592561217295,0.35720134774298895,0.9198519575848192,0.73618942616893,0.2640113549503162,0.3625641256562184,0.06488568177082113,0.015932047218548837,0.17043458092990865,0.05054330167549015,0.23619897775833135
남양주,0.1946364225060315,0.4095180126083499,0.45596761808904457,0.23402375907203213,0.38493393399133297,0.49141133242965424,0.4157659026415559,0.630040500224181,0.31873005626926226,0.22897867987552098,0.06098722125387256,0.10994537073088505,0.1064597018560745,1.0,0.9774513194873394,0.32891169128354836,0.4096174380322567,0.08789365094775885,0.04672294546131363,0.17550211185899997,0.0676858959803022,0.4044846110702318
동두천,0.05136339235843692,0.4437265346816219,0.38994678900781227,0.14589233853744754,0.26829403345660474,0.25241958191681513,0.44385753785958837,0.6654480363569804,0.2777631986165018,0.19466589612475285,0.10489710504688392,0.13710445792680298,0.4455054276402715,1.0,0.9287642375260338,0.47904190948384345,0.4150957269983896,0.07335399206578541,0.05967453726341502,0.13998751825067685,0.07201068312009289,0.5067870679811592
부천,0.042853683286591164,0.47356653639345203,0.512342556093708,0.2183266653888384,0.27761999952441957,0.33776081855080303,0.45901847608225804,0.9705447324940419,0.304443476008886,0.20598639737332627,0.10340101424590258,0.12633619442106506,0.10898434593613365,1.0,0.9595632329745175,0.3349961016681017,0.3888296427263542,0.062289143216891364,0.05054220033758332,0.24359440519638687,0.07030420278133948,0.3865853400985248
수원,0.11821015852374216,0.5698545426567327,0.5571718971498096,0.2469869314051096,0.25132925128817923,0.35177259047520687,0.4879696297348285,0.9256465887727897,0.39809342545383336,0.2294020569137847,0.1153250991446808,0.10127775758796688,0.21927133025192727,1.0,0.8627203210073457,0.30835892354087013,0.42945229570311466,0.07356500791850164,0.05915707472916491,0.1840677457283708,0.0663371119861467,0.4261025083297154
안산,0.1556292436252801,0.40009230479533797,0.40869468633772615,0.17867107193114415,0.261854365472223,0.22727836487081476,0.3159170240891554,1.0,0.3248847769066018,0.1612829054769635,0.028163354494036567,0.0873265326694016,0.09158828017921206,0.8942380968147065,0.5970379220073926,0.2689767997731262,0.32588462228779835,0.067653172756861,0.04332957404169516,0.24157744224198377,0.06208121553064459,0.524330516634211
안성,0.059990442862992766,0.28684538637448054,0.357248301106189,0.1463918913414526,0.263765979106959,0.2163432336327357,0.21287721682254077,0.4032003349493775,0.2312442592526796,0.12331335272146707,0.07215399760737984,0.07637423948476046,1.0,0.8113709461464877,0.6838542765058954,0.21888850408310245,0.3111320720948023,0.0745613559638475,0.03541478453857059,0.17701604570854262,0.17653985500748043,0.2753792712638396
양주,0.07234117060625668,0.48548177583970537,0.5672303177832972,0.25203478060967066,0.24657870728085052,0.5324245298882408,0.42483546830480917,0.7282005902131456,0.32648402637722973,0.27063782226448124,0.0972549318357168,0.09892503164073453,0.21978152769951728,1.0,0.792843552957087,0.2713225422361655,0.4649688945495976,0.18671277460505728,0.061063788613672725,0.13532072739558643,0.16445341774219518,0.4384993368945232
양평,0.034638728749446915,0.30303226946999046,0.39634744056951554,0.105840748221019,0.3783908078166295,0.4234176852664612,0.21730846479338436,0.8269647869099145,0.31198399199708815,0.13071900075815296,0.3065220216568097,0.08998183637246293,1.0,0.9970325642188669,0.6528825617574111,0.2712990197599716,0.3793999954880786,0.11144165167639013,2.6660090945957022e-05,0.481760711348054,0.06389226359730844,0.2552755847158764
여주,0.07634955150391803,0.38075366703285807,0.42854184201987516,0.16006267926901793,0.5545444814944966,0.595967883183533,0.37577536307862086,0.5981459248030035,0.34519851402411544,0.14618824592201946,0.13171584671213454,0.12739085047266163,0.5185541593975221,1.0,0.8258177396634973,0.3929838194459719,0.4141299848282106,0.08258361887129079,0.031688296593068696,0.11171727183803672,0.18459943838638904,0.49653381575119926
연천,0.026938071248861595,0.36743094716510916,0.34883070118909554,0.1609040665586442,0.6971035085068299,0.43591414976221926,0.3261117264331794,0.6277176661806694,0.2778701417978191,0.20506089773442407,0.22312440258956073,0.12701838532961515,0.35303575437952184,0.9625498797374985,1.0,0.18118041249103659,0.480915650461191,0.13860392985967104,0.009148417030736565,0.12500524698027818,0.16228044885756382,0.3274782688307201
오산,0.07615577638951623,0.3219562672121119,0.470807865837202,0.19150483078184488,0.3758474628392333,0.29910902721305394,0.3311616146207964,0.6475749096211081,0.35014357768544674,0.19093595859744492,0.07973907446325276,0.10645484518299755,0.45802969327758325,1.0,0.9127342490029305,0.2963163526238763,0.391461036219301,0.08390301389976908,0.0395507260318315,0.22298881498348871,0.08034555101739163,0.3792083319178812
용인,0.1128363355870843,0.4932737648595788,0.817942792109534,0.25768311059954724,0.37739362481358,0.34929758907252867,0.44958007275247064,0.7221439887660392,0.3950401290664493,0.25483830979292454,0.08309010389506044,0.09500829298986135,0.34349799936085723,1.0,0.8453809013184304,0.2814022511605594,0.4188211668101232,0.09912707900808161,0.07447778704439359,0.17005812133065307,0.05641573422862783,0.3413711346414896
의정부,0.050290682647079116,0.5568650556649838,0.5272172032644201,0.2294982620190973,0.25784432160560294,0.30883030839772857,0.458129297485993,1.0,0.3223110018566547,0.2041104851269518,0.10433496084688167,0.11542551476928452,0.1835032731982662,0.9806029376875455,0.8717095291235116,0.423077297610543,0.40304188894703813,0.06645999812709744,0.054010391706064434,0.13610549084815915,0.05824162875405664,0.44318238493623646
이천,0.07828715991920192,0.457338615268906,0.545887285185973,0.19742285359105377,0.326895125945695,0.524221010727356,0.3460323756114771,0.8172438758856003,0.24056562379408133,0.17535775314345495,0.11202025605104704,0.11584036302205802,0.20602414802024438,1.0,0.8996754007990723,0.3757779413617423,0.39353863238380804,0.07680948756180017,0.0784988212487014,0.14325636097514094,0.13124872069499333,0.46610224712014436
파주,0.20398532255990176,0.48335701451883134,0.4432944438445598,0.22955219736389698,0.24794387561855133,0.34894973140405955,0.38591537818243865,0.5393080218450221,0.5430675661391806,0.19286928235030537,0.10686670576988304,0.1199795089946525,0.45628753910041375,1.0,0.8983132844340977,0.28152897971570234,0.4377905346557997,0.08546778003779057,0.04328733771105852,0.16951262556757285,0.05983439828751519,0.4591100543561816
하남,0.06238777944597419,0.43038419721738647,0.7299042035822947,0.2490595275158947,0.434356356517316,0.34682081689606054,0.37352910869572414,0.5651340583756699,0.3239533615113711,0.18212303832833596,0.09381049049037819,0.08225872689759103,0.6416080306221845,1.0,0.7716010578662043,0.37079616767837686,0.37062825504243235,0.08615436288793418,0.01048319841544249,0.08835213370713892,0.08813981365926393,0.5805425004879534
화성,0.08180193503870373,0.6164058134893254,0.6400758193700877,0.2910570150010458,0.3012676799875146,0.30472494981379195,0.49757812623647224,0.4795522182505583,0.4895331250214622,0.25376965169311005,0.047530058187897066,0.0688043077873375,0.2268614637373045,0.9971631514962642,1.0,0.32902852072850813,0.4468275371664109,0.09273519482183107,0.054080801739090495,0.16190080563309822,0.0474234181914599,0.35984392224928013
